ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
FAST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FRT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FDX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FITB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FSLR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FISV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FTNT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FTV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FOXA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FOX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FCX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GRMN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GEHC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GNRC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GD,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00
GIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GPC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GILD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GPN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GDDY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HAL,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HIG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HCA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSIC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HPE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HLT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HOLX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HWM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HPQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HUBB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HUM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HBAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HII,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00
IBM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IEX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IDXX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ITW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INCY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
